case_id,case_name,district_code,depot_code,road_code,section_code,section_name,start_date,flood_level,the_geom
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/16/2022 20:30,91,POINT (100.06072536041 15.6687345448915)
2.0221E+11,???????,??.????????????? 1,?????????????????????,321,300,?????? - ??????????,10/16/2022 20:30,25,POINT (100.012134549966 14.4534145391894)
2.02212E+11,???????????????,??.???????,??????????????????,4060,100,??????? - ??????,12/20/2022 11:46,0,POINT (101.58314001983412 6.630733035117209)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3558,100,???????????? - ??????,10/17/2022 8:30,18,POINT (100.130413342507 14.5001272760635)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/17/2022 9:00,90 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,???????????????,??.?????????,????????????????????,3265,100,?????????? - ??????,10/11/2022 7:00,0,POINT (100.031032373296 15.3693701551455)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3558,100,???????????? - ??????,10/18/2022 9:02,14,POINT (100.130413342507 14.5001272760635)
2.0221E+11,???????,??.?????????,????????????????????,214,102,???????? - ????,10/21/2022 15:00,80,POINT (103.5856449 16.2508171)
2.0221E+11,??????????,??.?????????,??????????????????,2367,201,???????? - ?????????????,10/16/2022 21:00,0,POINT (103.43137085433895 16.23472335390442)
2.0221E+11,???????????????????  ??? 02140302 ??? ???? - ??????,??.????????,?????????????????,214,302,???? - ??????,10/18/2022 12:01,0,POINT (103.6769008 15.3650183)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/21/2022 9:30,73 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/17/2022 12:00,89 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,???????,??.???????????,?????????????????,2146,100,??????????? - ???????????????,10/18/2022 15:06,30 ??.- 60 ??.,POINT (102.581279355472 16.8892095295073)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/18/2022 8:00,3,POINT (100.2432978512952 15.139391155265656)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3487,100,????????????? - ??????????,10/17/2022 12:20,12,POINT (100.10581254959106 14.534030629547678)
2.0221E+11,?????????????????,??.??????,???????????????????,3040,100,???????? - ?????????,10/18/2022 8:36,5,POINT (99.9203355836601 14.0458219414967)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/17/2022 11:38,3,POINT (100.24372100561322 15.138213291250995)
2.0221E+11,???????,??.???????????,?????????????????,2146,100,??????????? - ???????????????,10/21/2022 9:05,30-60,POINT (102.581279355472 16.8892095295073)
2.0221E+11,??.3195 ?????????0202 ??? ???????????-??????? ??.30+300-32+700,??.???????,???????????????????,3195,202,??????????? - ???????,10/21/2022 21:00,20,POINT (100.391467273743 14.6027061885644)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3558,100,???????????? - ??????,10/17/2022 12:17,18,POINT (100.130413342507 14.5001272760635)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/21/2022 13:27,3,POINT (100.24269103874302 15.140139331117258)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/25/2022 14:30,44 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3487,100,????????????? - ??????????,10/18/2022 9:11,7,POINT (100.10607004165651 14.534051386546869)
2.0221E+11,???????????????,??.?????????,????????????????????,333,303,????????? - ????????????????????????,10/17/2022 10:00,0,POINT (100.017384714233 15.3703136548496)
2.0221E+11,???????????????,??.??????,?????????????????????,4,1001,?????? - ??????????,10/20/2022 15:00,0,POINT (98.2529044 8.6782675)
2.0221E+11,???????? ???????????????,??.???????????? 2 (??????),??????????????????,225,201,????????????? - ??????,10/18/2022 9:20,-,POINT (100.25696039199829 15.80477604233737)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/18/2022 13:39,3,POINT (100.24131774332093 15.142295320077146)
2.0221E+11,???????????????,??.??????,???????????????????,3040,100,???????? - ?????????,10/18/2022 13:45,5,POINT (99.9203355836601 14.0458219414967)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/18/2022 17:30,82,POINT (100.06072536041 15.6687345448915)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/18/2022 14:30,84,POINT (100.06072536041 15.6687345448915)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3558,100,???????????? - ??????,10/18/2022 17:36,14,POINT (100.130413342507 14.5001272760635)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/18/2022 16:27,3,POINT (100.24320234344518 15.139217733130712)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3487,100,????????????? - ??????????,10/18/2022 17:41,7,POINT (100.1059412956238 14.534092900539411)
2.02212E+11,???????????????,??.???????,??????????????????,4355,100,???????????????,12/18/2022 14:27,25,POINT (101.27569304779175 6.86929001469374)
2.0221E+11,????????????????,??.??????,???????????????????,3040,100,???????? - ?????????,10/18/2022 16:57,0,POINT (99.9203355836601 14.0458219414967)
2.0221E+11,??????????,??.??????2(??????),??????????????????,1090,101,??????-??????????,10/14/2022 14:20,0,POINT (98.7018605 16.51005633)
2.0221E+11,??????? ??.3454 ????????? 0301 ??? ???????-??????????? ??.72+100-73+300,??.???????,???????????????????,3454,301,??????? - ???????????,10/21/2022 12:00,10,POINT (100.351202829905 14.6188485499024)
2.0221E+11,???????  ??.3195 ????????? 0202 ??? ???????????-??????? ??.30+000-32+700,??.???????,???????????????????,3195,202,??????????? - ???????,10/21/2022 12:00,20,POINT (100.391467273743 14.6027061885644)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/21/2022 11:17,3,POINT (100.24337768279113 15.139377202768966)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/21/2022 12:30,73,POINT (100.06072536041 15.6687345448915)
2.0221E+11,???????????????,??.??????,?????????????????,4025,100,??????? -  ????????,10/31/2022 0:25,30,POINT (98.3183251 7.986466)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/19/2022 12:00,79 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/18/2022 19:28,3,POINT (100.24131774367562 15.141665441239782)
2.0221E+11,???????,??.?????????,?????????????????????,311,202,??????????? - ??????? (??????????????),10/11/2022 13:00,0,POINT (100.32782962 15.00193126)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/18/2022 20:30,80,POINT (100.06072536041 15.6687345448915)
2.02212E+11,?????????????,??.???????? 1,??????????????????,408,202,??????? - ??????,12/18/2022 15:30,15,POINT (100.548559 7.239886)
2.0221E+11,??????? ??.3454 ????????? 0301 ??? ???????-??????????? ??.49+875-51+000,??.???????,???????????????????,3454,301,??????? - ???????????,10/20/2022 9:00,5,POINT (100.400585063891 14.7532246178254)
2.02301E+11,???????????????,??.???????,??????????????????,418,100,????? - ????,1/8/2023 11:30,0,POINT (101.23532295227052 6.65857907036706)
2.0221E+11,????????????????.3195 ?????????0202 ??? ???????????-??????? ??.26+650,??.???????,???????????????????,3195,202,??????????? - ???????,10/21/2022 12:00,0,POINT (100.360643760409 14.5990980289816)
2.0221E+11,??????????????????,??.?????,?????????????????????,2086,100,?????????? - ????????,10/19/2022 8:00,5,POINT (103.896445718531 15.5269760459766)
2.0221E+11,??????????,??.????????????? 1,?????????????????????,321,300,?????? - ??????????,10/19/2022 9:30,19,POINT (100.012134549966 14.4534145391894)
2.0221E+11,???????????????,??.??????,?????????????????,3351,300,????????? - ???????,10/19/2022 11:40,0,POINT (100.117048944397 14.135930288728984)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/19/2022 8:19,3,POINT (100.2437210069502 15.138984186841064)
2.0221E+11,?????????????,??.???????????? 1,??????????????????????? 2,122,102,??????????????????????????????????,10/19/2022 9:00,79 ??.,POINT (100.06072536041 15.6687345448915)
2.0221E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,10/19/2022 11:12,3,POINT (100.24187865392014 15.141256042255938)
2.0221E+11,???????,??.???????????,?????????????????,2146,100,??????????? - ???????????????,10/21/2022 12:09,20-58,POINT (102.581279355472 16.8892095295073)
2.0221E+11,???????,??.???????????,?????????????????,2146,100,??????????? - ???????????????,10/19/2022 12:06,30-60,POINT (102.581279355472 16.8892095295073)
2.0221E+11,???????????????????,??.????????????? 1,??????????????????????,3558,100,???????????? - ??????,10/19/2022 9:46,11,POINT (100.130413342507 14.5001272760635)
2.02211E+11,??????????,??.??????,???????????????????,311,300,??????? - ??????,11/1/2022 13:30,3,POINT (100.24337768307763 15.13904632642616)
